Pos Pengungsian,Lokasi,Latitude,Longitude,Kabupaten,Kecamatan,Desa
Desa S Kalangan,Tapanuli Tengah - Tukka,1.74,98.78,Kota Sibolga,Sibolga Kota,Pasar Baru
Desa Simarpinggan dan Parjaringan,Tapanuli Tengah - Kolang,1.75,98.78,Kota Sibolga,Sibolga Utara,Angin Nauli
pasar baru,Kota Sibolga - Sibolga Kota,1.75,98.78,Kota Sibolga,Sibolga Utara,Angin Nauli
raja pancuran,Kota Sibolga - Sibolga Kota,1.74,98.78,Kota Sibolga,Sibolga Kota,Pasar Baru
simpang Lima,Kota Sibolga - Sibolga Kota,1.745,98.785,Kota Sibolga,Sibolga Utara,Huta Tonga-Tonga
"SMP 5 , Parombunan",Kota Sibolga - Sibolga Selatan,1.745,98.785,Kota Sibolga,Sibolga Utara,Huta Tonga-Tonga
Area Toll Tanjung Pura,Langkat - Tanjung Pura,3.9102,98.4324,Langkat,Tanjung Pura,Pekubuan
Basecamp Perairan Cempa,Langkat - Hinai,3.8053,98.3905,Langkat,Hinai,Perkebunan Tanjung Beringin
Kantor Camat Sei Lepan,Langkat - Sei Lepan,3.9756,98.1897,Langkat,Besitang,Sekoci
Masjid At Taqwa Besitang,Langkat - Besitang,4.0641,98.1591,Langkat,Besitang,Pekan Besitang
Masjid Batu Melenggang,Langkat - Hinai,3.7879,98.403,Langkat,Hinai,Perkebunan Tanjung Beringin
Masjid Uhdiyah Babalan,Langkat - Babalan,4.0136,98.2819,Langkat,Sei Lepan,Alur Dua
SMPN Besitang,Langkat - Besitang,4.064,98.1567,Langkat,Besitang,Pekan Besitang
Stabat Lama Barat,Langkat - Wampu,3.7896,98.3532,Langkat,Padang Tualang,Tanjung Putus
Tebasan Desa Pantai Gemi,Langkat - Stabat,3.7368,98.4625,Langkat,Stabat,Kwala Bingai
SD 037 Tangga Bosi,Mandailing Natal - Siabu,0.95,99.53,Mandailing Natal,Bukit Malintang,Malintang Julu
Ds. Sei Rampah,Serdang Bedagai - Sei Rampah,3.48,99.13,Serdang Bedagai,Sei Rampah,Pematang Ganjang
Kantor Desa Pasar Baru,Serdang Bedagai - Teluk Mengkudu,3.55,99.15,Serdang Bedagai,Teluk Mengkudu,Sentang
Rumah Kepala Desa Liberia,Serdang Bedagai - Teluk Mengkudu,3.55,99.15,Serdang Bedagai,Teluk Mengkudu,Sentang
Desa Hutanabolon,Tapanuli Tengah - Tukka,1.745,98.785,Kota Sibolga,Sibolga Utara,Huta Tonga-Tonga
Desa Mampang Baru,Tapanuli Tengah - Sibabangun,1.73,98.79,Kota Sibolga,Sibolga Sambas,Pancuran Bambu
Desa Pondok Bambu,Tapanuli Tengah - Tukka,1.73,98.79,Kota Sibolga,Sibolga Sambas,Pancuran Bambu
